Region,District,vvrid,vvid,round,N_vvid,Dist_Area,Area_kmsq,Population,dist_km,vdogs,v_mean_date,v_mean_date,season_with_NA,season,Correct_District,CategoryVax,Category,nocollars,collars,tdogs,dog_vill_est,Pop2012,HH_Livestk_Keepers,Gr,TotalHH,Vaccines_vials,Cost,Nvaccinators
Mtwara,nanyumbu,nanyumbu_napacho_mpombe_3,nanyumbu_napacho_mpombe,3,89,5200.437722,205.1478164,2113,32.02,NA,NA,NA,NA,dry,Nanyumbu,Rural,rural,0,0,0,33,150857,13474,1,40746,160,6739600,18
Mtwara,newala,newala_malatu_malatushuleni_3,newala_malatu_malatushuleni,3,153,1951.337174,17.06957432,1379,19.203,6,03/07/2014,03-Jul,dry,dry,Newala,Rural,rural,0,0,0,27,205492,28279,1,58035,170,7690200,37
Lindi,ruangwa,ruangwa_mandarawe_mandarawe_3,ruangwa_mandarawe_mandarawe,3,89,2513.808844,61.98240214,1150,4.311,0,06/06/2014,06-Jun,dry,dry,Ruangwa,Rural,rural,0,0,0,31,131080,17605,1,37326,190,8165500,22
Coast,rufiji,rufiji_bungu_msafiri_3,rufiji_bungu_msafiri,3,115,9383.789029,36.9091053,3408,56.149,12,11/12/2013,11-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,45,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_mbwara_mbwara_3,rufiji_mbwara_mbwara,3,115,9383.789029,238.5500803,2672,44.511,26,14/12/2013,14-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,35,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_mbwara_tawi_3,rufiji_mbwara_tawi,3,115,9383.789029,493.4201232,1222,37.005,0,13/12/2013,13-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,16,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_mgomba_mgombakusini_3,rufiji_mgomba_mgombakusini,3,115,9383.789029,17.82413013,3026,24.781,2,16/12/2013,16-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,40,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_mlanzi_mchipi_3,rufiji_mlanzi_mchipi,3,115,9383.789029,7.28045503,604,54.17,0,12/12/2013,12-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,8,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_mtawanya_mtawanyab_3,rufiji_mtawanya_mtawanyab,3,115,9383.789029,7.72976156,1234,43.777,4,13/12/2013,13-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,16,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_mtunda_mtundaa_3,rufiji_mtunda_mtundaa,3,115,9383.789029,92.39940468,2521,52.622,10,12/12/2013,12-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,33,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_ngarambe_ngarambemashariki_3,rufiji_ngarambe_ngarambemashariki,3,115,9383.789029,174.9327837,895,52.948,NA,NA,NA,NA,wet,Rufiji,Rural,rural,0,0,0,12,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_ngarambe_tapika_3,rufiji_ngarambe_tapika,3,115,9383.789029,478.794107,441,39.838,NA,NA,NA,NA,wet,Rufiji,Rural,rural,0,0,0,6,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_ruaruke_kilulatambwe_3,rufiji_ruaruke_kilulatambwe,3,115,9383.789029,16.51167191,682,50.087,0,14/12/2013,14-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,9,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_ruaruke_nyamatanga_3,rufiji_ruaruke_nyamatanga,3,115,9383.789029,36.00992633,852,51.706,NA,NA,NA,NA,wet,Rufiji,Rural,rural,0,0,0,11,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_ruaruke_ruarukeb_3,rufiji_ruaruke_ruarukeb,3,115,9383.789029,62.30370809,1952,62.371,7,13/12/2013,13-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,26,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_salale_nyamisati_3,rufiji_salale_nyamisati,3,115,9383.789029,18.67667671,2350,69.693,12,07/12/2013,07-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,67,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_umwe_umwekati_3,rufiji_umwe_umwekati,3,115,9383.789029,1.354445472,3110,29.954,20,13/12/2013,13-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,41,217274,14973,1,48164,200,10492900,29
Coast,rufiji,rufiji_utete_kiwili_3,rufiji_utete_kiwili,3,115,9383.789029,30.32451851,2850,0.2,22,14/12/2013,14-Dec,wet,wet,Rufiji,Rural,rural,0,0,0,37,217274,14973,1,48164,200,10492900,29
Mtwara,tandahimba,tandahimba_chaume_chaume_3,tandahimba_chaume_chaume,3,155,2047.30144,8.738244952,1768,27.519,0,23/06/2014,23-Jun,dry,dry,Tandahimba,Rural,rural,0,0,0,11,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_dinduma_dindumabarabarani_3,tandahimba_dinduma_dindumabarabarani,3,155,2047.30144,4.925359605,992,18.156,NA,NA,NA,NA,dry,Tandahimba,Rural,rural,0,0,0,6,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_dinduma_dindumashuleni_3,tandahimba_dinduma_dindumashuleni,3,155,2047.30144,4.77251847,466,16.623,NA,NA,NA,NA,dry,Tandahimba,Rural,rural,0,0,0,3,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_dinduma_tandika_3,tandahimba_dinduma_tandika,3,155,2047.30144,5.266708714,303,16.226,1,25/06/2014,25-Jun,dry,dry,Tandahimba,Rural,rural,0,0,0,2,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_kitama_mitondia_3,tandahimba_kitama_mitondia,3,155,2047.30144,17.813772,971,12.372,5,23/06/2014,23-Jun,dry,dry,Tandahimba,Rural,rural,0,0,0,15,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_kitama_mwengeb_3,tandahimba_kitama_mwengeb,3,155,2047.30144,6.607023032,1959,13.26,2,24/06/2014,24-Jun,dry,dry,Tandahimba,Rural,rural,0,0,0,19,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_kitama_namunda_3,tandahimba_kitama_namunda,3,155,2047.30144,15.47161258,1722,10.932,0,23/06/2014,23-Jun,dry,dry,Tandahimba,Rural,rural,0,0,0,11,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_kwanyama_huruma_3,tandahimba_kwanyama_huruma,3,155,2047.30144,7.306759776,877,11.956,0,24/06/2014,24-Jun,dry,dry,Tandahimba,Rural,rural,0,0,0,6,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_kwanyama_kwanyama_3,tandahimba_kwanyama_kwanyama,3,155,2047.30144,14.87528999,1595,10.307,0,25/06/2014,25-Jun,dry,dry,Tandahimba,Rural,rural,0,0,0,10,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_kwanyama_sinyangi_3,tandahimba_kwanyama_sinyangi,3,155,2047.30144,8.867318291,417,6.73,NA,NA,NA,NA,dry,Tandahimba,Rural,rural,0,0,0,3,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_litehu_libobe_3,tandahimba_litehu_libobe,3,155,2047.30144,16.90783469,692,38.323,NA,NA,NA,NA,dry,Tandahimba,Rural,rural,0,0,0,4,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_luagala_mkolajuu_3,tandahimba_luagala_mkolajuu,3,155,2047.30144,8.381235904,436,37.48,NA,NA,NA,NA,dry,Tandahimba,Rural,rural,0,0,0,3,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_lyenje_mahona_3,tandahimba_lyenje_mahona,3,155,2047.30144,8.462937833,852,17.601,1,24/06/2014,24-Jun,dry,dry,Tandahimba,Rural,rural,0,0,0,5,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_lyenje_umoja_3,tandahimba_lyenje_umoja,3,155,2047.30144,8.181333387,1474,15.25,NA,NA,NA,NA,dry,Tandahimba,Rural,rural,0,0,0,9,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_mahuta_mahutabondeni_3,tandahimba_mahuta_mahutabondeni,3,155,2047.30144,7.599012283,2065,27.407,0,24/06/2014,24-Jun,dry,dry,Tandahimba,Rural,rural,0,0,0,13,227514,26595,1,60872,160,7214900,33
Mtwara,tandahimba,tandahimba_mahuta_milumba_3,tandahimba_mahuta_milumba,3,155,2047.30144,5.3440936,805,29.235,0,25/06/2014,25-Jun,dry,dry,Tandahimba,Rural,rural,0,0,0,5,227514,26595,1,60872,160,7214900,33
