Region,District,Ward,Village,team_leader,dateVaccination,dateVaccinati,Dogs,Cats,Correct_Village,Correct_Ward,Correct_District,Correct_Region
Morogoro,Morogoro Rural,Mkuyuni,Luholela,G. Malya,18/12/2014,18-Dec-14,15,1,Luholela,Mkuyuni,Morogoro,Morogoro
Morogoro,Ulanga,Ketaketa,Luhombero,NA,05/12/2016,05-Dec-16,39,13,Luhombero,Ilonga,Ulanga,Morogoro
Morogoro,Ulanga,Ilonga,Luhombero,Mustafa Nangui,11/03/2013,11-Mar-13,56,24,Luhombero,Ilonga,Ulanga,Morogoro
Morogoro,Ulanga,Ilonga  ,Luhombero ,NA,03/10/2011,03-Oct-11,54,18,Luhombero,Ilonga,Ulanga,Morogoro
Morogoro,Ulanga,Ilonga  ,Luhombero ,NA,06/05/2010,06-May-10,28,11,Luhombero,Ilonga,Ulanga,Morogoro
Morogoro,Ulanga,KETAKETA,Luhombelo,Mkuluwili,08/12/2014,08-Dec-14,88,19,Luhombero,Ilonga,Ulanga,Morogoro
Morogoro,Ulanga,Lukande,Lukande,NA,05/12/2016,05-Dec-16,159,17,Lukande,Lukande,Ulanga,Morogoro
Morogoro,Ulanga,Lukande,Lukande,Kitelanya,13/03/2013,13-Mar-13,123,10,Lukande,Lukande,Ulanga,Morogoro
Morogoro,Ulanga,Lukande  ,Lukande ,NA,04/10/2011,04-Oct-11,0,0,Lukande,Lukande,Ulanga,Morogoro
Morogoro,Ulanga,Lukande  ,Lukande ,NA,07/05/2010,07-May-10,26,17,Lukande,Lukande,Ulanga,Morogoro
Morogoro,Ulanga,LUKANDE,Lukande,Kizughuto,09/12/2014,09-Dec-14,163,17,Lukande,Lukande,Ulanga,Morogoro
Coast,Mkuranga,Lukanga,Lukanga,NA,01/12/2016,01-Dec-16,9,0,Lukanga,Lukanga,Mkuranga,Pwani
Pwani,Mkuranga,Lukanga,Lukanga,Festo mallya,19/06/2012,19-Jun-12,7,7,Lukanga,Lukanga,Mkuranga,Pwani
Pwani,Mkuranga,Lukanga,Lukanga,Ezekiel J.Masanja,23/03/2011,23-Mar-11,0,3,Lukanga,Lukanga,Mkuranga,Pwani
Morogoro,Morogoro rural,Kolero,Lukange,Muslim,04/11/2016,04-Nov-16,27,0,Lukange,Kolero,Morogoro,Morogoro
Morogoro,Morogoro,Kolero,Lukange,Dickson mbilinyi,21/02/2013,21-Feb-13,1,0,Lukange,Kolero,Morogoro,Morogoro
morogoro,Morogoro rural,Kolero,Lukange,Grace,10/10/2011,10-Oct-11,33,2,Lukange,Kolero,Morogoro,Morogoro
morogoro,Morogoro rural,Kolero,Lukange,Grace,03/10/2011,03-Oct-11,85,0,Lukange,Kolero,Morogoro,Morogoro
Morogoro,Morogoro Rural,Kolero,Lukange,A. Y. Achiula,18/12/2014,18-Dec-14,15,4,Lukange,Kolero,Morogoro,Morogoro
Coast,Kibaha rural,Magindu,Lukenge,Steveni Nhigula,19/11/2016,19-Nov-16,131,5,Lukenge,Magindu,Kibaha,Pwani
Pwani,Kibaha rural,Magindu,Muyombo ufugaji,George E Sulusi,08/12/2013,08-Dec-13,115,0,Lukenge,Magindu,Kibaha,Pwani
Pwani,Kibaha rural,Magindu,Lukenge,George E Sulusi,07/12/2013,07-Dec-13,199,14,Lukenge,Magindu,Kibaha,Pwani
Pwani,Kibaha rural,Magindu,Lukenge,George E Sulusi,21/02/2012,21-Feb-12,43,2,Lukenge,Magindu,Kibaha,Pwani
Pwani,Kibaha rural,Magindu,Lukenge,George E Sulusi,20/02/2012,20-Feb-12,12,2,Lukenge,Magindu,Kibaha,Pwani
Pwani,Kibaha rural,Magindu,Lukenge,George E Sulusi,20/02/2012,20-Feb-12,64,8,Lukenge,Magindu,Kibaha,Pwani
Pwani,Kibaha Rural,Magindu,Lukenge,NA,08/12/2014,08-Dec-14,305,35,Lukenge,Magindu,Kibaha,Pwani
Morogoro,Morogoro rural,Kibungo juu,Lukenge,Richard Paul,04/11/2016,04-Nov-16,48,2,Lukenge,Kibungo Juu,Morogoro,Morogoro
Morogoro,Morogoro,Kibungo Juu,Lukenge shuleni,Tanzilu mpando,23/02/2013,23-Feb-13,18,0,Lukenge,Kibungo Juu,Morogoro,Morogoro
Morogoro,Morogoro Rural,Kibungo Juu,Lukenge,Richard Paul,20/12/2014,20-Dec-14,47,1,Lukenge,Kibungo Juu,Morogoro,Morogoro
Morogoro,Morogoro urban,Kihonda,Lukobe juu,NA,05/11/2016,05-Nov-16,71,5,Lukobe juu,Kihonda,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kihonda,Maduka 10,Grace,22/02/2013,22-Feb-13,48,8,Lukobe juu,Kihonda,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kihonda,Lukobe,Grace,21/02/2013,21-Feb-13,82,12,Lukobe juu,Kihonda,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kihonda,Lukobe,Grace,09/02/2013,09-Feb-13,129,15,Lukobe juu,Kihonda,Morogoro Urban,Morogoro
Morogoro,Morogoro Urban,LUKOBE,Ofisi ya Kata,Elias Moi,21/12/2014,21-Dec-14,343,10,Lukobe juu,Kihonda,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kihonda,Lukobe kambi tano,NA,05/11/2016,05-Nov-16,104,4,Lukobe kambi tano,Kihonda,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kihonda,Mkundi shuleni,Grace,21/02/2013,21-Feb-13,95,10,Lukobe kambi tano,Kihonda,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kihonda,Mkundi,Grace,11/02/2013,11-Feb-13,165,12,Lukobe kambi tano,Kihonda,Morogoro Urban,Morogoro
Morogoro,Morogoro Urban,LUKOBE,Maduka 10,Eunice Kyungay,21/12/2014,21-Dec-14,82,19,Lukobe kambi tano,Kihonda,Morogoro Urban,Morogoro
